location,skill,mentions
"Hybrid - Noida, Pune, Gurugram",Azure,1
"Hybrid - Noida, Pune, Gurugram, Bengaluru",Machine Learning,1
"Hybrid - Noida, Pune, Gurugram, Bengaluru",Python,1
"Hybrid - Noida, Pune, Gurugram, Bengaluru",Natural Language Processing,1
"Hybrid - Noida, Pune, Gurugram, Bengaluru",LLM,1
Hybrid - Pimpri-Chinchwad,Python,2
Hybrid - Pimpri-Chinchwad,GCP,2
Hybrid - Pimpri-Chinchwad,Spark,1
Hybrid - Pimpri-Chinchwad,AWS,1
Hybrid - Pimpri-Chinchwad,Agile,1
Hybrid - Pimpri-Chinchwad,PySpark,1
Hybrid - Pimpri-Chinchwad,Azure,1
Hybrid - Pimpri-Chinchwad,Scala,1
Hybrid - Pimpri-Chinchwad,Airflow,1
Hybrid - Pimpri-Chinchwad,Java,1
Hybrid - Pune,Python,12
Hybrid - Pune,SQL,10
Hybrid - Pune,GCP,8
Hybrid - Pune,Java,6
Hybrid - Pune,Spark,6
Hybrid - Pune,Azure,5
Hybrid - Pune,AWS,5
Hybrid - Pune,Airflow,5
Hybrid - Pune,PySpark,4
Hybrid - Pune,BigQuery,3
Hybrid - Pune(Aundh +5),SQL,1
Hybrid - Pune(Aundh +5),AWS,1
Hybrid - Pune(Aundh +5),Azure,1
Hybrid - Pune(Aundh +5),Java,1
Hybrid - Pune(Aundh),Python,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),Azure,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),Python,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),Vector Database,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),Prompt Engineering,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),Natural Language Processing,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),KPI Reporting,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),RAG,1
Hybrid - Pune(Hinjewadi Rajiv Gandhi Infotech Park),LLM,1
"Hybrid - Pune, Bengaluru",Python,2
"Hybrid - Pune, Bengaluru",R,1
"Hybrid - Pune, Bengaluru",APIs,1
"Hybrid - Pune, Bengaluru",Machine Learning,1
"Hybrid - Pune, Bengaluru",Feature Engineering,1
"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",SQL,1
"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Python,1
"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",PySpark,1
"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Azure,1
"Hybrid - Pune, Chennai",Python,1
"Hybrid - Pune, Chennai",SQL,1
"Hybrid - Pune, Chennai",Azure,1
"Hybrid - Pune, Chennai",Spark,1
"Hybrid - Pune, Chennai",PySpark,1
"Hybrid - Pune, Chennai",Databricks,1
"Hybrid - Pune, Chennai, Bengaluru",SQL,4
"Hybrid - Pune, Chennai, Bengaluru",Python,2
"Hybrid - Pune, Chennai, Bengaluru",PySpark,1
"Hybrid - Pune, Chennai, Bengaluru",ETL,1
"Hybrid - Pune, Chennai, Bengaluru",Kubernetes,1
"Hybrid - Pune, Chennai, Bengaluru",Git,1
"Hybrid - Pune, Chennai, Bengaluru",Machine Learning,1
"Hybrid - Pune, Chennai, Bengaluru",Docker,1
"Hybrid - Pune, Chennai, Bengaluru",Bash,1
"Hybrid - Pune, Chennai, Bengaluru",Linux,1
"Hybrid - Pune, Gurugram, Bengaluru",Compensation Analytics,1
Hybrid - Purandhar,Python,2
Hybrid - Purandhar,Spark,2
Hybrid - Purandhar,Airflow,2
Hybrid - Purandhar,PySpark,2
Hybrid - Purandhar,Agile,2
Hybrid - Purandhar,Scala,2
Hybrid - Purandhar,GCP,1
Hybrid - Purandhar,Git,1
Hybrid - Purandhar,Java,1
Hybrid - Purandhar,Jira,1
Hybrid - Shirur,Python,1
Hybrid - Shirur,ETL,1
Hybrid - Shirur,Java,1
Hybrid - Shirur,BigQuery,1
Hybrid - Shirur,GCP,1
Hybrid - Shirur,SQL,1
Hybrid - Tiruppur,SQL,2
Hybrid - Tiruppur,APIs,1
Hybrid - Tiruppur,Excel,1
Hybrid - Velhe,GCP,2
Hybrid - Velhe,Python,2
Hybrid - Velhe,Scala,1
Hybrid - Velhe,AWS,1
Hybrid - Velhe,Spark,1
Hybrid - Velhe,Agile,1
Hybrid - Velhe,Azure,1
Hybrid - Velhe,Linux,1
Hybrid - Velhe,Bash,1
Hybrid - Velhe,Airflow,1
Hyderabad,SQL,73
Hyderabad,Business Recommendations,57
Hyderabad,Python,57
Hyderabad,Future of Work,57
Hyderabad,Stakeholder Communication,57
Hyderabad,Labor Market Analytics,57
Hyderabad,APIs,51
Hyderabad,Data Visualization,39
Hyderabad,Machine Learning,38
Hyderabad,LLM,36
Hyderabad(Hitec City),Linux,1
Hyderabad(Hitec City),Python,1
Hyderabad(Ida Uppal),KPI Reporting,1
Hyderabad(Ida Uppal),Excel,1
Hyderabad(Kondapur),Prompt Engineering,1
Hyderabad(Koti +1),RAG,1
Hyderabad(Madhapur),Machine Learning,1
Hyderabad(Madhapur),Agile,1
Hyderabad(Madhapur),Excel,1
Hyderabad(Madhapur),Azure,1
Hyderabad(Malakpet),APIs,1
Hyderabad(Malakpet),Tableau,1
Hyderabad(Malakpet),Excel,1
Hyderabad(Raidurgam),SQL,1
Hyderabad(Raidurgam),Snowflake,1
Hyderabad(Raidurgam),ETL,1
Hyderabad(Raidurgam),Data Warehousing,1
Hyderabad(Raidurgam),Streamlit,1
"Hyderabad, Ahmedabad",Data Visualization,1
"Hyderabad, Ahmedabad",MySQL,1
"Hyderabad, Ahmedabad",SQL,1
"Hyderabad, Ahmedabad",Agile,1
"Hyderabad, Ahmedabad",Azure,1
"Hyderabad, Bengaluru",SQL,5
"Hyderabad, Bengaluru",Java,3
"Hyderabad, Bengaluru",Python,3
"Hyderabad, Bengaluru",Linux,2
"Hyderabad, Bengaluru",Tableau,2
"Hyderabad, Bengaluru",Agile,2
"Hyderabad, Bengaluru",Airflow,1
"Hyderabad, Bengaluru",BigQuery,1
"Hyderabad, Bengaluru",PostgreSQL,1
"Hyderabad, Bengaluru",MySQL,1
"Hyderabad, Bengaluru, Delhi / Ncr",LLM,1
"Hyderabad, Bengaluru, Delhi / Ncr",Machine Learning,1
"Hyderabad, Bengaluru, Delhi / Ncr",FastAPI,1
"Hyderabad, Bengaluru, Delhi / Ncr",Feature Engineering,1
"Hyderabad, Bengaluru, Delhi / Ncr",Kubernetes,1
"Hyderabad, Bengaluru, Delhi / Ncr",MLOps,1
"Hyderabad, Bengaluru, Delhi / Ncr",Scikit-learn,1
"Hyderabad, Bengaluru, Delhi / Ncr",Docker,1
"Hyderabad, Bengaluru, Delhi / Ncr",Probability,1
"Hyderabad, Bengaluru, Delhi / Ncr",Python,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",Natural Language Processing,2
"Hyderabad, Bengaluru, Mumbai (All Areas)",Machine Learning,2
"Hyderabad, Bengaluru, Mumbai (All Areas)",Azure,2
"Hyderabad, Bengaluru, Mumbai (All Areas)",Data Visualization,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",Tableau,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",GCP,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",AWS,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",Scala,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",Power BI,1
"Hyderabad, Bengaluru, Mumbai (All Areas)",Python,1
"Hyderabad, Chennai",Git,2
"Hyderabad, Chennai",Azure,2
"Hyderabad, Chennai",SQL,2
"Hyderabad, Chennai",Kubernetes,1
"Hyderabad, Chennai",Java,1
"Hyderabad, Chennai",Kafka,1
"Hyderabad, Chennai",Python,1
"Hyderabad, Chennai",Agile,1
"Hyderabad, Chennai",CI/CD,1
"Hyderabad, Chennai",APIs,1
"Hyderabad, Chennai, Bengaluru",Python,12
"Hyderabad, Chennai, Bengaluru",SQL,9
"Hyderabad, Chennai, Bengaluru",APIs,5
"Hyderabad, Chennai, Bengaluru",Java,3
"Hyderabad, Chennai, Bengaluru",AWS,3
"Hyderabad, Chennai, Bengaluru",Azure,3
"Hyderabad, Chennai, Bengaluru",LLM,3
"Hyderabad, Chennai, Bengaluru",Spark,2
"Hyderabad, Chennai, Bengaluru",Git,2
"Hyderabad, Chennai, Bengaluru",CI/CD,2
"Hyderabad, Coimbatore, Bengaluru",SQL,1
"Hyderabad, Coimbatore, Bengaluru",Azure,1
"Hyderabad, Coimbatore, Bengaluru",APIs,1
"Hyderabad, Coimbatore, Bengaluru",AWS,1
"Hyderabad, Delhi / Ncr",Machine Learning,1
"Hyderabad, Delhi / Ncr",Scikit-learn,1
"Hyderabad, Delhi / Ncr",Python,1
"Hyderabad, Delhi / Ncr",MLOps,1
"Hyderabad, Gurugram, Bengaluru",APIs,1
"Hyderabad, Gurugram, Bengaluru",Java,1
"Hyderabad, Gurugram, Bengaluru",AWS,1
"Hyderabad, Gurugram, Bengaluru",Kafka,1
"Hyderabad, Gurugram, Coimbatore",FastAPI,1
"Hyderabad, Gurugram, Coimbatore",Python,1
"Hyderabad, Kondapur",Git,1
"Hyderabad, Kondapur",Docker,1
"Hyderabad, Kondapur",AWS,1
"Hyderabad, Kondapur",Kubernetes,1
"Hyderabad, Kondapur",CI/CD,1
"Hyderabad, Kondapur",Linux,1
"Hyderabad, Kondapur",Bash,1
"Hyderabad, Kondapur",Python,1
"Hyderabad, Mumbai (All Areas)",SQL,1
"Hyderabad, Mumbai (All Areas)",KPI Reporting,1
"Hyderabad, Pune",Machine Learning,1
"Hyderabad, Pune",Python,1
"Hyderabad, Pune",LLM,1
"Hyderabad, Pune, Bengaluru",SQL,4
"Hyderabad, Pune, Bengaluru",Bash,2
"Hyderabad, Pune, Bengaluru",PySpark,2
"Hyderabad, Pune, Bengaluru",Python,2
"Hyderabad, Pune, Bengaluru",Linux,1
"Hyderabad, Pune, Bengaluru",Git,1
"Hyderabad, Pune, Bengaluru",Machine Learning,1
"Hyderabad, Pune, Bengaluru",Spark,1
"Hyderabad, Pune, Bengaluru",Statistics,1
"Hyderabad, Pune, Bengaluru",Databricks,1
"Hyderabad, Pune, Chennai, Bengaluru",SQL,1
"Hyderabad, Pune, Delhi / Ncr",Natural Language Processing,1
"Hyderabad, Pune, Delhi / Ncr",Python,1
"Hyderabad, Pune, Delhi / Ncr",Machine Learning,1
"Hyderabad, Pune, Greater Noida",PySpark,1
"Hyderabad, Pune, Greater Noida",ETL,1
"Hyderabad, Pune, Greater Noida",AWS,1
"Hyderabad, Pune, Greater Noida",Python,1
"Hyderabad, Pune, Gurugram",Machine Learning,1
"Hyderabad, Telangana",Machine Learning,8
"Hyderabad, Telangana",ETL,4
"Hyderabad, Telangana",Python,3
"Hyderabad, Telangana",RAG,3
"Hyderabad, Telangana",Databricks,3
"Hyderabad, Telangana",GCP,3
"Hyderabad, Telangana",Data Warehousing,2
"Hyderabad, Telangana",SQL,2
"Hyderabad, Telangana",Azure,2
"Hyderabad, Telangana",Dashboarding,2
Ichalkaranji,Excel,1
India,Machine Learning,14
India,ETL,7
India,Azure,5
India,RAG,4
India,AWS,4
India,SQL,3
India,Natural Language Processing,3
India,GCP,3
India,LLM,3
India,Python,3
"India, Chennai",Java,1
"India, Chennai",SQL,1
"Indore, Hyderabad",Azure,1
"Indore, Hyderabad",Jira,1
"Indore, Hyderabad",Java,1
"Indore, Hyderabad",Agile,1
"Indore, Hyderabad",APIs,1
"Indore, Hyderabad",Python,1
Jagtial,Kafka,1
Jagtial,ETL,1
Jagtial,Scala,1
Jagtial,Data Warehousing,1
Jagtial,Git,1
Jagtial,Java,1
Jagtial,Spark,1
Jagtial,AWS,1
Jagtial,SQL,1
Jaipur,Excel,1
Jaipur,Dashboarding,1
Jaipur,APIs,1
Jaipur,SQL,1
Jaipur(Jhotwara),Natural Language Processing,1
Jaipur(Jhotwara),Matplotlib,1
Jangaon,AWS,2
Jangaon,Kafka,2
Jangaon,Data Warehousing,1
Jangaon,ETL,1
Jangaon,Java,1
Jangaon,Scala,1
Jangaon,Azure,1
Jangaon,Spark,1
Jangaon,GCP,1
Jangaon,CI/CD,1
Kamareddy,AWS,2
Kamareddy,Kafka,2
Kamareddy,Data Warehousing,1
Kamareddy,CI/CD,1
Kamareddy,Azure,1
Kamareddy,Scala,1
Kamareddy,ETL,1
Kamareddy,Java,1
Kamareddy,GCP,1
Kamareddy,Spark,1
Karimnagar,Kubernetes,2
Karimnagar,GCP,2
Karimnagar,Azure,1
Karimnagar,Java,1
Karimnagar,Python,1
Karimnagar,AWS,1
Karimnagar,Kafka,1
Karimnagar,Docker,1
Karimnagar,CI/CD,1
Karimnagar,APIs,1
"Karnataka, India",MLOps,1
"Karnataka, India",Python,1
"Karnataka, India",Machine Learning,1
"Kerala, India",Scikit-learn,1
"Kerala, India",Excel,1
"Kerala, India",Matplotlib,1
"Kerala, India",R,1
"Kerala, India",Seaborn,1
"Kerala, India",SQL,1
"Kerala, India",Python,1
"Kerala, India",Statistics,1
Khammam,GCP,2
Khammam,Kubernetes,2
Khammam,CI/CD,1
Khammam,AWS,1
Khammam,Azure,1
Khammam,Java,1
Khammam,SQL,1
Khammam,APIs,1
Khammam,Python,1
Khammam,Docker,1
Kochi,AWS,1
Kochi,Python,1
Kochi,Java,1
Kochi,FastAPI,1
Kochi,APIs,1
Kochi,SQL,1
"Kochi(Kakkanad), Bengaluru(Hsr Layout)",Prompt Engineering,1
"Kochi, Chennai, Bengaluru",Python,1
"Kochi, Chennai, Bengaluru",Java,1
"Kochi, Coimbatore, Thiruvananthapuram",Python,1
"Kochi, Coimbatore, Thiruvananthapuram",Machine Learning,1
"Kochi, Ernakulam",SQL,1
"Kochi, Ernakulam",Matplotlib,1
"Kochi, Ernakulam",Seaborn,1
"Kochi, Ernakulam",Statistics,1
"Kochi, Ernakulam",R,1
"Kochi, Ernakulam",Machine Learning,1
"Kochi, Ernakulam",Python,1
"Kochi, Ernakulam",Excel,1
"Kochi, Ernakulam",Scikit-learn,1
"Kochi, Thiruvananthapuram",Python,1
"Kochi, Thiruvananthapuram",R,1
Kodagu,Java,1
Kodagu,Git,1
Kodagu,SQL,1
Kolar,Java,1
Kolar,Git,1
Kolar,SQL,1
Kolhapur,Excel,1
Kolkata(Em Bypass +1),Power BI,1
"Kolkata, Chennai, Bengaluru",Jira,1
"Kolkata, Chennai, Bengaluru",SQL,1
"Kolkata, Hyderabad",Python,1
"Kolkata, Hyderabad",SQL,1
"Kolkata, Hyderabad",AWS,1
"Kolkata, Hyderabad, Pune, Chennai, Bengaluru, Delhi / Ncr",Java,1
"Kolkata, Hyderabad, Pune, Chennai, Bengaluru, Delhi / Ncr",APIs,1
"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / Ncr, Mumbai (All Areas)",SQL,1
"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / Ncr, Mumbai (All Areas)",APIs,1
"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / Ncr, Mumbai (All Areas)",Git,1
"Kolkata, West Bengal",RAG,1
"Kolkata, West Bengal",Vector Database,1
Kota(Kunhari),Python,1
Kota(Kunhari),Git,1
Kota(Kunhari),PostgreSQL,1
Kota(Kunhari),APIs,1
Kothagudem,AWS,2
Kothagudem,Kafka,1
Kothagudem,SQL,1
Kothagudem,KPI Reporting,1
Kothagudem,GCP,1
Kothagudem,Spark,1
Kothagudem,Data Warehousing,1
Kothagudem,ETL,1
Kothagudem,Scala,1
Krishnagiri,CI/CD,1
Krishnagiri,GCP,1
Krishnagiri,Java,1
Krishnagiri,Docker,1
Krishnagiri,Azure,1
Krishnagiri,Kubernetes,1
Krishnagiri,APIs,1
Krishnagiri,AWS,1
Lucknow,LLM,1
Ludhiana,KPI Reporting,1
Madurai,APIs,1
Madurai,SQL,1
"Madurai, Chennai, Coimbatore",MySQL,1
"Madurai, Chennai, Coimbatore",Azure,1
"Madurai, Chennai, Coimbatore",APIs,1
"Madurai, Chennai, Coimbatore",AWS,1
"Madurai, Chennai, Coimbatore",Docker,1
"Madurai, Chennai, Coimbatore",SQL,1
"Madurai, Chennai, Coimbatore",Python,1
"Madurai, Chennai, Coimbatore",Git,1
Mahabubnagar,GCP,2
Mahabubnagar,Kubernetes,2
Mahabubnagar,SQL,1
Mahabubnagar,Python,1
Mahabubnagar,Docker,1
Mahabubnagar,Azure,1
Mahabubnagar,APIs,1
Mahabubnagar,CI/CD,1
Mahabubnagar,Java,1
Mahabubnagar,AWS,1
Mancherial,SQL,2
Mancherial,Kubernetes,1
Mancherial,Git,1
Mancherial,GCP,1
Mancherial,Java,1
Mancherial,Python,1
Mandya,Azure,1
Mandya,Kafka,1
Mandya,Kubernetes,1
Mandya,CI/CD,1
Mandya,AWS,1
Mandya,GCP,1
Mandya,Java,1
Mandya,APIs,1
Mandya,Docker,1
Manesar,Python,1
Mangaluru,Data Visualization,1
Mangaluru,Machine Learning,1
Medak,SQL,2
Medak,KPI Reporting,1
Medak,GCP,1
Medak,Git,1
Medak,Java,1
Medak,AWS,1
Mohali,R,1
Mohali,Scikit-learn,1
Mohali,Python,1
Mohali,Machine Learning,1
Mohali(Phase-8 Industrial Area),SQL,1
Mohali(Sector 66),AWS,1
Mohali(Sector 66),Machine Learning,1
Mohali(Sector 66),GCP,1
Mohali(Sector 66),Docker,1
Mohali(Sector 66),LangChain,1
Mohali(Sector 66),Power BI,1
Mohali(Sector 66),Python,1
Mohali(Sector 66),Azure,1
Mohali(Sector 66),SQL,1
Mohali(Sector 66),APIs,1
"Mohali, Pune",Python,1
"Mohali, Pune",FastAPI,1
"Mohali, Pune",SQL,1
"Mohali, Pune",PostgreSQL,1
Mulshi,Java,1
Mulshi,SQL,1
Mulshi,Git,1
Mulug,Python,1
Mulug,Kubernetes,1
Mulug,SQL,1
Mulug,GCP,1
Mumbai,Future of Work,33
Mumbai,Labor Market Analytics,33
Mumbai,Business Recommendations,33
Mumbai,Stakeholder Communication,33
Mumbai,Python,26
Mumbai,APIs,24
Mumbai,SQL,24
Mumbai,RAG,23
Mumbai,LLM,23
Mumbai,Data Visualization,22
"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",Python,1
"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",Machine Learning,1
"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",ETL,1
Mumbai(Ambernath),Spark,1
Mumbai(Ambernath),KPI Reporting,1
"Mumbai(Goregaon), Goregaon",Excel,1
"Mumbai(Goregaon), Goregaon",KPI Reporting,1
"Mumbai(Goregaon), Goregaon",SQL,1
"Mumbai(Malad), Mumbai (All Areas)",Java,1
"Mumbai(Malad), Mumbai (All Areas)",Python,1
Mumbai(Prabhadevi),Git,1
Mumbai(Prabhadevi),PostgreSQL,1
Mumbai(Prabhadevi),Kafka,1
Mumbai(Prabhadevi),APIs,1
Mumbai(Prabhadevi),Docker,1
Mumbai(Prabhadevi),CI/CD,1
Mumbai(Prabhadevi),SQL,1
"Mumbai, Bengaluru",Data Visualization,1
"Mumbai, Bengaluru",Machine Learning,1
"Mumbai, Bengaluru",Spark,1
"Mumbai, Bengaluru",Azure,1
"Mumbai, Bengaluru",Statistics,1
"Mumbai, Bengaluru",ETL,1
"Mumbai, Bengaluru",Python,1
"Mumbai, Maharashtra",Python,2
"Mumbai, Maharashtra",SQL,2
"Mumbai, Maharashtra",MySQL,1
"Mumbai, Maharashtra",Excel,1
"Mumbai, Maharashtra",RAG,1
"Mumbai, Maharashtra",PostgreSQL,1
"Mumbai, Maharashtra",KPI Reporting,1
"Mumbai, Maharashtra",R,1
"Mumbai, Maharashtra",ETL,1
"Mumbai, Maharashtra",Databricks,1
"Mumbai, Mumbai Suburban, Mumbai (All Areas)",Excel,1
"Mumbai, Pune, Bengaluru",Scikit-learn,1
"Mumbai, Pune, Bengaluru",Machine Learning,1
"Mumbai, Pune, Bengaluru",Power BI,1
"Mumbai, Pune, Bengaluru",Python,1
Mysuru,SQL,3
Mysuru,AWS,3
Mysuru,GCP,2
Mysuru,Spark,2
Mysuru,Azure,1
Mysuru,Scala,1
Mysuru,Java,1
Mysuru,PySpark,1
Mysuru,ETL,1
Mysuru,KPI Reporting,1
Nagarkurnool,AWS,2
Nagarkurnool,GCP,1
Nagarkurnool,Kafka,1
Nagarkurnool,CI/CD,1
Nagarkurnool,Docker,1
Nagarkurnool,Kubernetes,1
Nagarkurnool,APIs,1
Nagarkurnool,Data Warehousing,1
Nagarkurnool,Java,1
Nagarkurnool,Azure,1
Nagpur,FastAPI,1
Nagpur,Python,1
Nalgonda,AWS,2
Nalgonda,Java,2
Nalgonda,Kafka,2
Nalgonda,ETL,1
Nalgonda,APIs,1
Nalgonda,GCP,1
Nalgonda,Docker,1
Nalgonda,Data Warehousing,1
Nalgonda,Azure,1
Nalgonda,Kubernetes,1
Narayanpet,GCP,3
Narayanpet,AWS,3
Narayanpet,Kafka,2
Narayanpet,Kubernetes,2
Narayanpet,SQL,2
Narayanpet,Data Warehousing,1
Narayanpet,Docker,1
Narayanpet,Spark,1
Narayanpet,APIs,1
Narayanpet,Scala,1
Nashik,KPI Reporting,2
Nashik,Excel,1
Nashik,Power BI,1
"Nashik, Navi Mumbai",APIs,1
"Nashik, Navi Mumbai",Python,1
"Nashik, Navi Mumbai",Java,1
"Nashik, Pune, Aurangabad",SQL,1
"Nashik, Pune, Aurangabad",Power BI,1
"Nashik, Pune, Aurangabad",Python,1
Navi Mumbai,SQL,2
Navi Mumbai,KPI Reporting,2
Navi Mumbai,Python,1
Navi Mumbai,Power BI,1
Navi Mumbai,APIs,1
Navi Mumbai,Dashboarding,1
Navi Mumbai,Databricks,1
Navi Mumbai,PySpark,1
Navi Mumbai,Azure,1
Navi Mumbai,Excel,1
"Navi Mumbai, Bengaluru, Mumbai (All Areas)",Azure,1
"Navi Mumbai, Bengaluru, Mumbai (All Areas)",RAG,1
"Navi Mumbai, Bengaluru, Mumbai (All Areas)",Natural Language Processing,1
"Navi Mumbai, Bengaluru, Mumbai (All Areas)",Machine Learning,1
"Navi Mumbai, Maharashtra",Excel,1
"Navi Mumbai, Maharashtra",Dashboarding,1
Navsari,SQL,1
Navsari,APIs,1
Noida,Business Recommendations,42
Noida,Future of Work,42
Noida,Labor Market Analytics,42
Noida,Stakeholder Communication,42
Noida,Python,41
Noida,SQL,38
Noida,APIs,34
Noida,Scikit-learn,27
Noida,Data Visualization,26
Noida,RAG,26
Noida(Sector 137),SQL,1
Noida(Sector 137),APIs,1
Noida(Sector 57),APIs,1
"Noida, Bangalore Rural, Gurugram",CI/CD,1
"Noida, Bangalore Rural, Gurugram",SQL,1
"Noida, Bangalore Rural, Gurugram",Azure,1
"Noida, Chandigarh",CI/CD,1
"Noida, Chandigarh",BigQuery,1
"Noida, Chandigarh",Python,1
"Noida, Chandigarh",SQL,1
"Noida, Chandigarh",GCP,1
"Noida, Delhi / Ncr",Natural Language Processing,1
"Noida, Delhi / Ncr",Python,1
"Noida, Delhi / Ncr",Machine Learning,1
"Noida, Ghaziabad",SQL,1
"Noida, Ghaziabad",ETL,1
"Noida, Ghaziabad",Tableau,1
"Noida, Ghaziabad",Power BI,1
"Noida, Ghaziabad",Python,1
"Noida, Ghaziabad",Natural Language Processing,1
"Noida, Ghaziabad",KPI Reporting,1
"Noida, Ghaziabad",Prompt Engineering,1
"Noida, Ghaziabad",Machine Learning,1
"Noida, Greater Noida, Delhi / Ncr",AWS,1
"Noida, Greater Noida, Delhi / Ncr",APIs,1
"Noida, Greater Noida, Delhi / Ncr",PostgreSQL,1
"Noida, Greater Noida, Delhi / Ncr",ETL,1
"Noida, Gurugram",Python,1
"Noida, Gurugram",SQL,1
"Noida, Gurugram",Tableau,1
"Noida, Gurugram, Bengaluru",Power BI,1
"Noida, Gurugram, Delhi / Ncr",Python,1
"Noida, Hyderabad, Bengaluru",Java,1
"Noida, Hyderabad, Bengaluru",FastAPI,1
"Noida, Hyderabad, Bengaluru",AWS,1
"Noida, Hyderabad, Bengaluru",GCP,1
"Noida, Hyderabad, Bengaluru",Azure,1
"Noida, Hyderabad, Bengaluru",Kubernetes,1
"Noida, Hyderabad, Bengaluru",Docker,1
"Noida, Kolkata, Delhi / Ncr",Power BI,1
"Noida, Kolkata, Delhi / Ncr",Data Visualization,1
"Noida, Kolkata, Delhi / Ncr",SQL,1
"Noida, Mumbai",Python,1
"Noida, Mumbai",Airflow,1
"Noida, Mumbai",SQL,1
"Noida, Mumbai",AWS,1
"Noida, Mumbai",ETL,1
"Noida, Pune",PostgreSQL,1
"Noida, Pune",ETL,1
"Noida, Pune",Git,1
"Noida, Pune",Azure,1
"Noida, Pune",CI/CD,1
"Noida, Pune",MySQL,1
"Noida, Pune",Kubernetes,1
"Noida, Pune",APIs,1
"Noida, Pune",Docker,1
"Noida, Pune",AWS,1
Pimpri-Chinchwad,AWS,1
Pimpri-Chinchwad,Azure,1
Pimpri-Chinchwad,GCP,1
Pimpri-Chinchwad,Java,1
Pimpri-Chinchwad,APIs,1
Pimpri-Chinchwad,Kafka,1
Pimpri-Chinchwad,CI/CD,1
Pimpri-Chinchwad,Kubernetes,1
Pimpri-Chinchwad,Docker,1
"Puducherry, Chennai",APIs,1
"Puducherry, Chennai",ETL,1
"Puducherry, Chennai, Bengaluru",Agile,1
"Puducherry, Chennai, Bengaluru",AWS,1
"Puducherry, Chennai, Bengaluru",SQL,1
"Puducherry, Chennai, Bengaluru",Azure,1
"Puducherry, Chennai, Bengaluru",KPI Reporting,1
"Puducherry, Chennai, Bengaluru",Git,1
Pune,Python,58
Pune,SQL,54
Pune,APIs,45
Pune,Labor Market Analytics,44
Pune,Business Recommendations,44
Pune,Future of Work,44
Pune,Stakeholder Communication,44
Pune,Data Visualization,30
Pune,LLM,29
Pune,Excel,28
Pune(Kharadi +2),Spark,1
Pune(Kharadi +2),Java,1
Pune(Kharadi +2),Python,1
Pune(Kharadi +2),AWS,1
Pune(Kharadi +2),SQL,1
Pune(Pimple Saudagar),MySQL,1
Pune(Pimple Saudagar),GCP,1
Pune(Pimple Saudagar),PostgreSQL,1
Pune(Pimple Saudagar),Docker,1
Pune(Pimple Saudagar),CI/CD,1
Pune(Pimple Saudagar),SQL,1
Pune(Pimple Saudagar),Git,1
Pune(Pimple Saudagar),AWS,1
Pune(Pune Nashik Highway),SQL,1
Pune(Pune Nashik Highway),ETL,1
Pune(Pune Nashik Highway),Spark,1
Pune(Pune Nashik Highway),Kafka,1
Pune(Pune Nashik Highway),Airflow,1
Pune(Viman Nagar),Git,1
Pune(Viman Nagar),Dashboarding,1
Pune(Viman Nagar),Power BI,1
Pune(Viman Nagar),KPI Reporting,1
Pune(Viman Nagar),SQL,1
"Pune, Ahmedabad",AWS,1
"Pune, Ahmedabad",SQL,1
"Pune, Ahmedabad",Agile,1
"Pune, Ahmedabad, Bengaluru",Docker,1
"Pune, Ahmedabad, Bengaluru",LLM,1
"Pune, Ahmedabad, Bengaluru",Git,1
"Pune, Bengaluru",SQL,4
"Pune, Bengaluru",Azure,3
"Pune, Bengaluru",AWS,2
"Pune, Bengaluru",APIs,2
"Pune, Bengaluru",Python,2
"Pune, Bengaluru",Agile,2
"Pune, Bengaluru",Scala,1
"Pune, Bengaluru",Data Warehousing,1
"Pune, Bengaluru",GCP,1
"Pune, Bengaluru",Docker,1
"Pune, Bengaluru, Delhi / Ncr",LLM,1
"Pune, Bengaluru, Mumbai (All Areas)",KPI Reporting,1
"Pune, Bengaluru, Mumbai (All Areas)",APIs,1
"Pune, Bengaluru, Mumbai (All Areas)",ETL,1
