location,postings,companies,avg_salary_lpa
"Noida, Hyderabad, Bengaluru",1,1,11.0
"Bengaluru, Delhi / Ncr",1,1,27.5
"Hybrid - Kochi, Ernakulam, Aluva",1,1,22.25
"Mohali, Chandigarh",1,1,11.0
Gurugram(Sector 26 +1),1,1,6.75
"Hyderabad, Bengaluru, Delhi / Ncr",1,1,17.5
"Hybrid - Noida, Hyderabad, Pune",1,1,42.5
"Hyderabad, Pune",1,1,12.5
Hybrid - Thane,1,1,2.75
"Kanpur, Lucknow",1,1,2.5
"Hybrid - Gurugram, Chennai, Bengaluru",1,1,22.75
"Bengaluru, Mumbai (All Areas)",1,1,8.5
Chirala,1,1,22.5
Hyderabad(Kondapur),1,1,2.1
"Hybrid - Pune, Gurugram, Bengaluru",1,1,17.0
Gurugram(Sector 48),1,1,3.6
Patiala,1,1,1.63
Chennai(Saidapet +14),1,1,6.5
"Hybrid - Hyderabad, Chennai, Coimbatore",1,1,35.0
"Pune, Chennai",1,1,7.5
Ernakulam,1,1,2.75
"Kochi, Thiruvananthapuram",1,1,22.5
"Hybrid - Indore, Pune",1,1,28.75
"Mumbai Suburban, Mumbai (All Areas)",1,1,4.5
"Bangalore Rural, Bengaluru(Kengeri)",1,1,6.5
"Mumbai(Goregaon), Goregaon",1,1,2.75
"Nashik, Pune, Aurangabad",1,1,3.0
Ahmedabad(Bopal),1,1,3.9
"Hybrid - Noida, Pune, Bangalore Rural",1,1,27.5
Pune(Sadashiv Peth),1,1,2.1
Palwal,1,1,4.5
"Hybrid - Noida, Pune, Gurugram",1,1,15.0
Ludhiana,1,1,10.2
"Gandhinagar, Chennai",1,1,15.0
"Karnataka, India",1,1,
Visakhapatnam,1,1,6.25
Velhe,1,1,20.0
"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",1,1,13.0
"Ambattur, Chennai",1,1,15.0
"Hybrid - Bangalore Rural, Bengaluru",1,1,19.5
"Hyderabad, Mumbai (All Areas)",1,1,4.25
"Hybrid - Hyderabad, Chennai",1,1,20.0
"Hybrid - Indore, Hyderabad, Bengaluru",1,1,22.5
Gurgaon/Gurugram,1,1,2.5
"Kolkata, Hyderabad",1,1,14.0
Mandya,1,1,25.0
Chennai(Sholinganallur),1,1,12.0
"Pune, Chennai, Delhi / Ncr",1,1,20.0
Chennai(Ashok Nagar),1,1,14.0
Panchkula,1,1,13.0
Hybrid - Nalgonda,1,1,20.0
"Ahmedabad, Bengaluru, Delhi / Ncr, Mumbai (All Areas)",1,1,13.5
Hyderabad(Raidurgam),1,1,12.0
Bengaluru(Hosur Road),1,1,8.5
Kodagu,1,1,18.75
Hybrid - Hyderabad(Nanakramguda),1,1,21.75
"Vijayawada(Guru Nanak Colony), Hyderabad(Madhapur)",1,1,4.0
"Hapur, Ghaziabad",1,1,2.75
"Noida, Pune",1,1,18.5
"Hybrid - Hyderabad, Gurugram, Bengaluru",1,1,10.0
Hybrid - Madurai,1,1,12.5
Bengaluru(Hebbal),1,1,24.0
Tiruchirapalli,1,1,4.5
"Noida, Bengaluru",1,1,55.0
"Kangra, Mandi, Delhi / Ncr",1,1,3.0
"Hybrid - Kolkata, Chennai, Mumbai (All Areas)",1,1,21.25
"Indore, Hyderabad",1,1,23.75
"Kochi, Coimbatore, Thiruvananthapuram",1,1,24.0
"Hyderabad, Ahmedabad",1,1,20.0
"Puducherry, Chennai",1,1,8.5
Bengaluru(Electronic City Phase 2),1,1,6.0
Raichur,1,1,25.0
Pune(Baner),1,1,3.5
"Hyderabad, Pune, Chennai, Bengaluru",1,1,10.25
Ramanagara,1,1,25.0
"Hybrid - Pune, Chennai",1,1,20.0
Manesar,1,1,6.5
Noida(Sector 57),1,1,6.5
"Navi Mumbai, Bengaluru, Mumbai (All Areas)",1,1,23.75
"Pune, Sonipat",1,1,13.5
"Hybrid - Mumbai Suburban, Bengaluru, Mumbai (All Areas)",1,1,8.5
"Madurai, Chennai, Coimbatore",1,1,10.0
Surat(Vesu),1,1,5.5
Kochi(Kakkanad),1,1,4.2
Ichalkaranji,1,1,2.0
Madurai,1,1,6.0
Gurugram(Golf Course Extension),1,1,11.0
Jaipur(Ajmer Road),1,1,3.0
Viluppuram,1,1,3.5
Tiruppur,1,1,2.1
"Pune, Ahmedabad",1,1,13.0
Chennai(Thoraipakkam),1,1,20.0
"Noida, Bangalore Rural, Gurugram",1,1,22.5
"Chennai, Coimbatore",1,1,6.5
"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",1,1,32.5
Hyderabad(Ida Uppal),1,1,3.13
Ankleshwar,1,1,20.0
"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",1,1,13.0
"Srinagar, Jammu",1,1,4.75
Hybrid - Noida,1,1,19.0
"Kolkata, Chennai, Bengaluru",1,1,25.0
"Chandigarh, Dadra & Nagar Haveli, Bengaluru",1,1,13.5
Surat,1,1,5.5
"Hyderabad, Coimbatore, Bengaluru",1,1,16.0
Hyderabad(Malakpet),1,1,4.88
Hybrid - Adilabad,1,1,15.0
Kolar,1,1,18.75
"Mumbai, Pune, Bengaluru",1,1,6.25
Pune(Pune Nashik Highway),1,1,9.0
Mumbai(Ambernath),1,1,3.0
"Hyderabad, Kondapur",1,1,17.0
